일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2020-06-29,2093.48,-41.17,-1.93,2105.54,2120.5,2087.84,643156.0,9025868.0,1408463552.0
2020-06-30,2108.33,14.85,0.71,2124.38,2134.38,2108.26,708605.0,11699083.0,1418860741.0
2020-07-01,2106.7,-1.63,-0.08,2128.81,2133.55,2101.33,1116221.0,10232632.0,1417280238.0
2020-07-02,2135.37,28.67,1.36,2116.72,2135.37,2113.98,1091965.0,10745168.0,1445664482.0
2020-07-03,2152.41,17.04,0.8,2147.89,2153.54,2135.3,770055.0,8649544.0,1456812255.0
2020-07-06,2187.93,35.52,1.65,2158.95,2191.28,2157.71,666902.0,11656295.0,1480948171.0
2020-07-07,2164.17,-23.76,-1.09,2202.04,2206.79,2164.03,847434.0,14858393.0,1465179698.0
2020-07-08,2158.88,-5.29,-0.24,2166.76,2173.83,2150.89,677810.0,11567569.0,1460994855.0
2020-07-09,2167.9,9.02,0.42,2171.15,2181.48,2166.74,619368.0,12029950.0,1467208749.0
2020-07-10,2150.25,-17.65,-0.81,2171.44,2171.52,2140.29,886987.0,12048058.0,1455781561.0
2020-07-13,2186.06,35.81,1.67,2170.51,2188.8,2163.07,650231.0,10462266.0,1479593286.0
2020-07-14,2183.61,-2.45,-0.11,2176.43,2183.61,2165.6,810952.0,11633360.0,1477856002.0
2020-07-15,2201.88,18.27,0.84,2208.73,2216.97,2190.66,830266.0,13641396.0,1490240355.0
2020-07-16,2183.76,-18.12,-0.82,2203.3,2207.34,2177.82,784637.0,11304254.0,1478307593.0
2020-07-17,2201.19,17.43,0.8,2187.85,2204.2,2187.85,569297.0,10191103.0,1490180654.0
2020-07-20,2198.2,-2.99,-0.14,2209.59,2209.59,2183.83,686819.0,12025004.0,1488358384.0
2020-07-21,2228.83,30.63,1.39,2219.19,2234.86,2214.28,918483.0,15759333.0,1509515194.0
2020-07-22,2228.66,-0.17,-0.01,2228.2,2238.86,2221.62,856218.0,15651893.0,1509717833.0
2020-07-23,2216.19,-12.47,-0.56,2227.24,2227.24,2202.99,934542.0,16328983.0,1501425782.0
2020-07-24,2200.44,-15.75,-0.71,2196.73,2219.57,2195.49,1001025.0,17156947.0,1490986232.0
2020-07-27,2217.86,17.42,0.79,2203.48,2231.25,2203.48,928625.0,14256877.0,1502710706.0
2020-07-28,2256.99,39.13,1.76,2238.19,2266.0,2237.21,866726.0,17516982.0,1530086534.0
2020-07-29,2263.16,6.17,0.27,2258.35,2276.79,2252.24,899494.0,15500572.0,1536196696.0
2020-07-30,2267.01,3.85,0.17,2275.33,2281.33,2263.81,713039.0,13550209.0,1539287193.0
2020-07-31,2249.37,-17.64,-0.78,2278.53,2281.41,2248.49,739689.0,13002293.0,1526798728.0
2020-08-03,2251.04,1.67,0.07,2251.65,2254.38,2237.04,648462.0,13612906.0,1528025691.0
2020-08-04,2279.97,28.93,1.29,2272.33,2284.66,2269.69,722906.0,15287235.0,1548269502.0
2020-08-05,2311.86,31.89,1.4,2289.23,2312.14,2283.95,841299.0,17883091.0,1569777969.0
2020-08-06,2342.61,30.75,1.33,2322.64,2352.48,2322.64,797147.0,17831686.0,1590672221.0
2020-08-07,2351.67,9.06,0.39,2349.25,2362.24,2333.62,812595.0,17585764.0,1598022872.0
2020-08-10,2386.38,34.71,1.48,2353.92,2390.51,2349.33,784617.0,19511322.0,1621675151.0
2020-08-11,2418.67,32.29,1.35,2396.11,2429.36,2396.11,843438.0,19680402.0,1643244636.0
